来源,产品名称,优酷视频
B0000488,无名之辈,
B0000489,中国蓝盔,
B0000490,你好，之华,
B0000491,恐龙王,
B0000492,冰封侠：时空行者,
B0000493,影,
B0000494,你美丽了我的人生,
B0000495,黑暗迷宫,
B0000496,邪不压正,https://list.youku.com/show/id_z285dd1a1efbfbd2111e7.html?spm=a2h0k.11417342.soresults.ddetail
B0000497,我不是药神,https://list.youku.com/show/id_zc6c62a475a5d4a14ab48.html?spm
B0000498,西虹市首富,https://list.youku.com/show/id_za0431b221a90485d9f97.html?spm
B0000499,悲伤逆流成河,https://list.youku.com/show/id_z4324c42ca22148ecb0c4.html?spm=a2h0k.11417342.soresults.ddetail
B0000500,忍者通告,
B0000501,张艺谋和他的“影”,https://list.youku.com/show/id_z492eed6ff9fe4c5f8f1f.html?spm=a2h0k.11417342.soresults.ddetail
B0000502,反贪风暴3,https://list.youku.com/show/id_z9945fde630754df3b78b.html?spm=a2h0k.11417342.soresults.ddetail
B0000503,四大名捕之入梦妖灵,https://list.youku.com/show/id_z62d8af7defbfbdefbfbd.html?spm=a2h0k.11417342.soresults.ddetail
B0000504,黄金兄弟,https://list.youku.com/show/id_z28540c41263d4923991f.html?spm=a2h0k.11417342.soresults.ddetail
B0000505,药仙,
B0000506,记忆折叠,
B0000507,擒贼先擒王,
B0000508,千门女王之螳螂捕蝉,
A0000501,你和我的倾城时光,
A0000502,将夜,
A0000503,原来你还在这里,https://list.youku.com/show/id_zefbfbdd2805befbfbd57.html?spm=a2h0j.11185381.bpmodule-playpage-lefttitle.5~5~H1~8~A
A0000504,人不彪悍枉少年,
A0000505,幸福一家人,https://list.youku.com/show/id_z3217efbfbdefbfbdefbf.html?spm=a2h0j.11185381.bpmodule-playpage-lefttitle.5~5~H1~8~A
A0000506,我们的四十年,
A0000507,我的保姆手册,https://list.youku.com/show/id_z22bc868e314e4eed90a6.html?spm=a2h0k.11417342.soresults.ddetail
A0000508,兄弟,https://list.youku.com/show/id_zbbc912e17a994ab7bd81.html?spm=a2h0k.11417342.soresults.ddetail
A0000509,回到明朝当王爷之杨凌传,https://list.youku.com/show/id_zefbfbd1b6aefbfbd055f.html?spm=a2h0k.11417342.soresults.ddetail
A0000510,火王之破晓之战,http://list.youku.com/show/id_zefbfbd6befbfbd6aefbf.html?spm=a2h0j.11185381.bpmodule-playpage-lefttitle.5~5~H1~8~A
A0000511,千门江湖之诡面疑云,
A0000512,唐砖,
A0000513,镇魂,https://list.youku.com/show/id_zdca053efbfbd36efbfbd.html?spm=a2h0k.11417342.soresults.ddetail
A0000514,是_的，法官阁下,http://list.youku.com/show/id_z3b5e2c2736e5486b86f6.html?spm=a2h0j.11185381.bpmodule-playpage-lefttitle.5~5~H1~8~A
A0000515,跳跃生命线,https://list.youku.com/show/id_z895be11272b442c98c16.html?spm=a2h0j.11185381.bpmodule-playpage-lefttitle.5~5~H1~8~A